date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:35	203/203	---M--	200	added ('OK')	text/plain	etag:%22963b6f75971b87f8811f8537c242925c%22	https://showandtell.agency/robots.txt		(from )
19:30:35	958058/958058	---MCZ	200	added ('OK')	text/html	etag:W/%22rfq6bb9ztzki9a%22	https://showandtell.agency/	C:/My%20Web%20Sites/loki2/showandtell.agency/index.html	(from )
19:30:35	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%226c287f8ae4b6e7017fb2211a34c3079e%22	https://showandtell.agency/favicon.ico	C:/My%20Web%20Sites/loki2/showandtell.agency/favicon.ico	(from https://showandtell.agency/)
19:30:35	4173/4173	---M--	200	added ('OK')	image/png	etag:%2280bbcb21caba061405a2c513a6100f71%22	https://showandtell.agency/apple-touch-icon.png	C:/My%20Web%20Sites/loki2/showandtell.agency/apple-touch-icon.png	(from https://showandtell.agency/)
19:30:36	895/895	---M--	200	added ('OK')	image/png	etag:%2278b8b93076c728b9332f5c21eb6062ce%22	https://showandtell.agency/favicon-32x32.png	C:/My%20Web%20Sites/loki2/showandtell.agency/favicon-32x32.png	(from https://showandtell.agency/)
19:30:36	649/649	---M--	200	added ('OK')	image/png	etag:%22140203cbd157a1605a7fe38ee11dd2b5%22	https://showandtell.agency/favicon-16x16.png	C:/My%20Web%20Sites/loki2/showandtell.agency/favicon-16x16.png	(from https://showandtell.agency/)
19:30:36	445/445	---M--	200	added ('OK')	application/manifest+json	etag:%2227b556f8c3b1ffd442bd1c9c5bc08fd9%22	https://showandtell.agency/site.webmanifest	C:/My%20Web%20Sites/loki2/showandtell.agency/site.webmanifest	(from https://showandtell.agency/)
19:30:42	56220/56220	---M--	200	added ('OK')	font/woff2	etag:%22cb83b2d8617c9099a8184d214ef9bccc%22	https://showandtell.agency/_next/static/media/c074ebc4f8a60050-s.p.woff2	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/media/c074ebc4f8a60050-s.p.woff2	(from https://showandtell.agency/)
19:30:43	861004/861004	---MCZ	200	added ('OK')	text/html	etag:W/%2237eb18ovbzicxr%22	https://showandtell.agency/fr	C:/My%20Web%20Sites/loki2/showandtell.agency/fr.html	(from https://showandtell.agency/)
19:30:43	54128/54128	---M--	200	added ('OK')	font/woff2	etag:%2263165d2667111ad4cb6fcde831004b66%22	https://showandtell.agency/_next/static/media/9431a58d2dabef30-s.p.woff2	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/media/9431a58d2dabef30-s.p.woff2	(from https://showandtell.agency/)
19:30:43	17916/17916	---M--	200	added ('OK')	font/woff2	etag:%22b7e8b941fccb64ccd982c1cd22380636%22	https://showandtell.agency/_next/static/media/45c7e5f62fcd5e3e-s.p.woff2	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/media/45c7e5f62fcd5e3e-s.p.woff2	(from https://showandtell.agency/)
19:30:43	6233/6233	---MCZ	200	added ('OK')	text/css	etag:W/%22c3e1b5d4f3c93c7f55a99f837afde066%22	https://showandtell.agency/_next/static/css/387afe4e8220881d.css	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/css/387afe4e8220881d.css	(from https://showandtell.agency/)
19:30:43	29733/29733	---MCZ	200	added ('OK')	text/css	etag:W/%222ea12611030e78cce7b1d61beaaed0d3%22	https://showandtell.agency/_next/static/css/cb1dbcef81c464de.css	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/css/cb1dbcef81c464de.css	(from https://showandtell.agency/)
19:30:44	5618/5618	---MCZ	200	added ('OK')	text/css	etag:W/%22f00a1ab51f4d85fb7e163387510cafae%22	https://showandtell.agency/_next/static/css/2914384fc2a80185.css	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/css/2914384fc2a80185.css	(from https://showandtell.agency/)
19:30:44	645/645	---M--	200	added ('OK')	text/css	etag:%228c99949b00d8ff6eb01a52664a18980f%22	https://showandtell.agency/_next/static/css/a0788a95635e83d7.css	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/css/a0788a95635e83d7.css	(from https://showandtell.agency/)
19:30:44	2487/2487	---MCZ	200	added ('OK')	text/css	etag:W/%22d4183be820d2b25967c43e1d62205cc1%22	https://showandtell.agency/_next/static/css/ca8e381985c5e645.css	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/css/ca8e381985c5e645.css	(from https://showandtell.agency/)
